Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
333143,Influenza - Avian,;H5N1 HPAI;,52.31,0.76,"Bury St Edmunds, West Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-09-26T00:00:00Z,2022-10-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
336800,Influenza - Avian,;H5N1 HPAI;,52.13,1.27,"Woodbridge, East Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-11-27T00:00:00Z,2022-12-02T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
314434,Influenza - Avian,;H5N1 HPAI;,54.93,-1.73,"Blaydon, Gateshead",U.K. of Great Britain and Northern Ireland,Europe,2022-02-19T00:00:00Z,2022-02-25T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
308793,Influenza - Avian,;H5N1 HPAI;,54.87,-6.2,"Broughshane, Country Antrim  ",U.K. of Great Britain and Northern Ireland,Europe,2021-11-26T00:00:00Z,2021-12-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
309732,Influenza - Avian,;H5N1 HPAI;,54.66,-6.55,"Ballinderry, Co. Londonderry",U.K. of Great Britain and Northern Ireland,Europe,2021-12-17T00:00:00Z,2021-12-23T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
308794,Influenza - Avian,;H5N1 HPAI;,54.4,-6.89,"Aughnacloy, County Tyrone  ",U.K. of Great Britain and Northern Ireland,Europe,2021-11-28T00:00:00Z,2021-12-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
347196,Influenza - Avian,;H5N1 HPAI;,56.12,-4.01,"Stirling, Stirling",U.K. of Great Britain and Northern Ireland,Europe,2023-02-12T00:00:00Z,2023-02-17T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
308796,Influenza - Avian,;H5N1 HPAI;,55.02,-3.11,"Gretna, Dumfriesshire",U.K. of Great Britain and Northern Ireland,Europe,2021-11-29T00:00:00Z,2021-12-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
360933,Influenza - Avian,;H5N1 HPAI;,54.79,-4.03,"Kirkcudbright, Dumfries and Galloway",U.K. of Great Britain and Northern Ireland,Europe,2023-08-11T00:00:00Z,2023-08-18T00:00:00Z,"Domestic,Phasianidae (unidentified):Phasianidae (incognita)(Phasianidae),",WOAH (former OIE),,,Confirmed
343760,Influenza - Avian,;H5N1 HPAI;,54.92,-5.11,"Stranraer , Dumfries and Galloway ",U.K. of Great Britain and Northern Ireland,Europe,2023-01-23T00:00:00Z,2023-02-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
361449,Influenza - Avian,;H5N1 HPAI;,55.1,-3.9,"Kirkcudbright, Dumfries and Galloway",U.K. of Great Britain and Northern Ireland,Europe,2023-08-11T00:00:00Z,2023-08-25T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
344553,Influenza - Avian,;H5N1 HPAI;,56.07,-3.37,"Crossgates, Fife",U.K. of Great Britain and Northern Ireland,Europe,2023-01-28T00:00:00Z,2023-02-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
289231,Influenza - Avian,;H5N1 HPAI;,56.22,-3.02,Nr Leven,U.K. of Great Britain and Northern Ireland,Europe,2021-02-06T00:00:00Z,2021-02-17T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
339359,Influenza - Avian,;H5N1 HPAI;,56.29,-3.1,"Ladybank, Fife",U.K. of Great Britain and Northern Ireland,Europe,2022-12-20T00:00:00Z,2022-12-30T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
362697,Influenza - Avian,;H5N1 HPAI;,57.53,-1.93,"OB_124999 - AIV2023/50 - PETERHEAD, ABERDEENSHIRE",U.K. of Great Britain and Northern Ireland,Europe,2023-09-05T00:00:00Z,2023-09-15T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
365655,Influenza - Avian,;H5N1 HPAI;,57.6,-2.1,"Strichen, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2023-10-20T00:00:00Z,2023-10-25T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
316853,Influenza - Avian,;H5N1 HPAI;,57.58,-2.04,"Strichen, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2022-03-09T00:00:00Z,2022-03-25T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
